Ref	Traits	MeSH_Term	MeSH_ID	MeSH_Tree	MeSH_Cat	MeSH_Group	MeSH_Anatomy	MeSH_Anatomy_Category	Ref-Category	Note
Kim 2021	Heart valve replaced	Heart Valve Prosthesis Implantation	D019918	E04.100.376.485	Diagnosis	Diagnosis	Heart	Cardiovascular System	Diagnosis	GWAS=-; Phecode=395.6
Kim 2021	Hematemesis	Hematemesis	D006396	C06.405.227.400	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	Digestive System Diseases	GWAS=-; Phecode=578.1
Kim 2021	Hematuria	Hematuria	D006417	C12.777.934.442	Disease	Male Urogenital Diseases	Urine	Fluids and Secretions	Male Urogenital Diseases	GWAS=HP_0000790; Phecode=593
Kim 2021	Microscopic hematuria	Hematuria	D006417	C12.777.934.442	Disease	Male Urogenital Diseases	Urine	Fluids and Secretions	Male Urogenital Diseases	GWAS=-; Phecode=593.2
Chang 2019	Other haemoglobinopathies and haemolytic anaemias	Hemoglobinopathies	D006453	C15.378.420	Disease	Hemic and Lymphatic Diseases	Blood cells	Hemic and Immune Systems	Other non-communicable diseases	-
Kim 2021	Hemoptysis	Hemoptysis	D006469	C08.381.348	Disease	Respiratory Tract Diseases	Respiratory System	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=516.1
Kim 2021	Hemorrhage NOS	Hemorrhage	D006470	C23.550.414	Disease	"Pathological Conditions, Signs and Symptoms"	Unspecified	Unspecified	"Pathological Conditions, Signs and Symptoms"	GWAS=-; Phecode=459.1
Kim 2021	Hemorrhoids	Hemorrhoids	D006484	C06.405.469.860.401	Disease	Digestive System Diseases	Anal Canal	Digestive System	Digestive System Diseases	GWAS=-; Phecode=455
Donertas 2020	Hiatus hernia	"Hernia, Hiatal"	D006551	C23.300.707.960.500.467	Disease	"Pathological Conditions, Signs and Symptoms"	Gastrointestinal Tract	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=2; -
Donertas 2020	Abdominal hernia	"Hernia, Ventral"	D006555	C23.300.707.374.937	Disease	"Pathological Conditions, Signs and Symptoms"	Gastrointestinal Tract	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=2; -
Kim 2021	Herpes zoster	Herpes Zoster	D006562	C01.925.256.466.930.750	Disease	Infections	Unspecified	Unspecified	Infections	GWAS=EFO_0006510; Phecode=53
Kim 2021	Herpes zoster with nervous system complications	Herpes Zoster	D006562	C01.925.256.466.930.750	Disease	Infections	Unspecified	Unspecified	Infections	GWAS=-; Phecode=53.1
Chang 2019	Hodgkin lymphoma	Hodgkin Disease	D006689	C04.557.386.355	Disease	Neoplasms	Blood cells	Hemic and Immune Systems	Neoplasms	-
Donertas 2020	Joint disorder	Hydrarthrosis	D006833	C05.550.509	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	musculoskeletal/trauma	Age-of-onset Cluster=2; Not-equivalent
Kim 2021	Joint effusions	Hydrarthrosis	D006833	C05.550.509	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=741.4
Donertas 2020	High cholesterol	Hypercholesterolemia	D006937	C18.452.584.500.500.396	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Hypercholesterolemia	Hypercholesterolemia	D006937	C18.452.584.500.500.396	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=272.11
Kim 2021	Hyperpotassemia	Hyperkalemia	D006947	C18.452.950.396	Disease	Nutritional and Metabolic Diseases	Urine	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=276.13
Kim 2021	Hyperosmolality and/or hypernatremia	Hypernatremia	D006955	C18.452.950.452	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=276.11
Kim 2021	Hyperparathyroidism	Hyperparathyroidism	D006961	C19.642.355	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	Endocrine System Diseases	GWAS=-; Phecode=252.1
Donertas 2020	Hyperthyroidism/thyrotoxicosis	Hyperparathyroidism	D006961	C19.642.355	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	endocrine/diabetes	Age-of-onset Cluster=2; -
Kim 2021	Secondary hyperparathyroidism (of renal origin)	Hyperparathyroidism	D006961	C19.642.355	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	Endocrine System Diseases	GWAS=-; Phecode=588.2
Kim 2021	Chronic venous hypertension	Hypertension	D006973	C14.907.489	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=-; Phecode=453
Kim 2021	Elevated blood pressure reading	Hypertension	D006973	C14.907.489	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=-; Phecode=402
Donertas 2020	Hypertension	Hypertension	D006973	C14.907.489	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Hypertension	Hypertension	D006973	C14.907.489	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=EFO_0000537; Phecode=401
Kim 2021	Hypertensive heart and/or renal disease	Hypertension	D006973	C14.907.489	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=-; Phecode=401.2
Kim 2021	Hypertensive heart disease	Hypertension	D006973	C14.907.489	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=-; Phecode=401.21
Chang 2019	Hypertensive heart disease	Hypertension	D006973	C14.907.489	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular diseases	-
Kim 2021	Other hypertensive complications	Hypertension	D006973	C14.907.489	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=-; Phecode=401.3
Kim 2021	Hypertensive chronic kidney disease	"Hypertension, Renal"	D006977	C12.777.419.331	Disease	Male Urogenital Diseases	Blood	Hemic and Immune Systems	Male Urogenital Diseases	GWAS=-; Phecode=401.22
Kim 2021	Retinal edema and hypertensive retinopathy	Hypertensive Retinopathy	D058437	C11.768.346	Disease	Eye Diseases	Blood	Hemic and Immune Systems	Eye Diseases	GWAS=-; Phecode=362.9
Kim 2021	Hyposmolality and/or hyponatremia	Hyponatremia	D007010	C18.452.950.620	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=276.12
Kim 2021	Hypotension	Hypotension	D007022	C14.907.514	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=-; Phecode=458
Kim 2021	Hypotension NOS	Hypotension	D007022	C14.907.514	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=-; Phecode=458.9
Kim 2021	Iatrogenic hypotension	Hypotension	D007022	C14.907.514	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=-; Phecode=458.2
Kim 2021	Orthostatic hypotension	"Hypotension, Orthostatic"	D007024	C10.177.575.600.450	Disease	Nervous System Diseases	Blood	Hemic and Immune Systems	Nervous System Diseases	GWAS=-; Phecode=458.1
Donertas 2020	Hypothyroidism/myxoedema	Hypothyroidism	D007037	C19.874.482	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	endocrine/diabetes	Age-of-onset Cluster=2; -
Kim 2021	Hypoventilation	Hypoventilation	D007040	C08.618.846.565	Disease	Respiratory Tract Diseases	Respiratory System	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=513.3
Kim 2021	Hypovolemia	Hypovolemia	D020896	C23.550.455	Disease	"Pathological Conditions, Signs and Symptoms"	Blood	Hemic and Immune Systems	"Pathological Conditions, Signs and Symptoms"	GWAS=-; Phecode=276.5
Kim 2021	Idiopathic fibrosing alveolitis	Idiopathic Pulmonary Fibrosis	D054990	C08.381.765.500	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=504.1
Kim 2021	Aneurysm of iliac artery	Iliac Aneurysm	D017543	C14.907.055.625	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=442.2
Kim 2021	Infections of kidney	Infections	D007239	C01	Disease	Infections	Kidney	Urogenital System	Infections	GWAS=-; Phecode=590
Donertas 2020	Urinary tract infection/kidney infection	Infections	D007239	C01	Disease	Infections	Kidney	Urogenital System	renal/urology	Age-of-onset Cluster=2; Not-equivalent
Kim 2021	"Infertility, female"	"Infertility, Female"	D007247	C13.351.500.365.700	Disease	Female Urogenital Diseases and Pregnancy Complications	Urogenital System	Urogenital System	Female Urogenital Diseases and Pregnancy Complications	GWAS=-; Phecode=626.8
Kim 2021	"Infertility, male"	"Infertility, Male"	D007248	C12.294.365.700	Disease	Male Urogenital Diseases	Urogenital System	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=609.1
Kim 2021	Male infertility	"Infertility, Male"	D007248	C12.294.365.700	Disease	Male Urogenital Diseases	Urogenital System	Urogenital System	Male Urogenital Diseases	GWAS=EFO_0004248; Phecode=-
Kim 2021	Male infertility and abnormal spermatozoa	"Infertility, Male"	D007248	C12.294.365.700	Disease	Male Urogenital Diseases	Urogenital System	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=609
Donertas 2020	Bowel problem	Inflammatory Bowel Diseases	D015212	C06.405.205.731	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=2; -
Kim 2021	Inflammatory bowel disease	Inflammatory Bowel Diseases	D015212	C06.405.205.731	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	Digestive System Diseases	GWAS=EFO_0003767; Phecode=555
Donertas 2020	Irritable bowel syndrome	Inflammatory Bowel Diseases	D015212	C06.405.205.731	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=2; -
Kim 2021	Degeneration of intervertebral disc	Intervertebral Disc Degeneration	D055959	C05.116.900.153	Disease	Musculoskeletal Diseases	Spinal Cord	Nervous System	Musculoskeletal Diseases	GWAS=-; Phecode=722.6
Donertas 2020	Disc problem	Intervertebral Disc Degeneration	D055959	C05.116.900.153	Disease	Musculoskeletal Diseases	Spinal Cord	Nervous System	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Donertas 2020	Prolapsed disc/slipped disc	Intervertebral Disc Displacement	D007405	C05.116.900.307	Disease	Musculoskeletal Diseases	Spinal Cord	Nervous System	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Chang 2019	Benign and in-situ intestinal neoplasms	Intestinal Neoplasms	D007414	C04.588.274.476.411	Disease	Neoplasms	Gastrointestinal Tract	Digestive System	Neoplasms	-
Kim 2021	Paralytic ileus	Intestinal Pseudo-Obstruction	D007418	C06.405.469.531.492.500	Disease	Digestive System Diseases	Intestines	Digestive System	Digestive System Diseases	GWAS=-; Phecode=560.1
Chang 2019	Paralytic ileus and intestinal obstruction	Intestinal Pseudo-Obstruction	D007418	C06.405.469.531.492.500	Disease	Digestive System Diseases	Intestines	Digestive System	Diabetes and kidney diseases	-
Kim 2021	Brain aneurysm	Intracranial Aneurysm	D002532	C10.228.140.300.510.600	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=EFO_0003870; Phecode=-
Kim 2021	Cerebral aneurysm	Intracranial Aneurysm	D002532	C10.228.140.300.510.600	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=433.5
Kim 2021	Cerebral atherosclerosis	Intracranial Arteriosclerosis	D002537	C10.228.140.300.510.800	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=433.12
Kim 2021	Intracranial hemorrhage	Intracranial Hemorrhages	D020300	C10.228.140.300.535	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=430
Kim 2021	Intracranial hemorrhage (injury)	Intracranial Hemorrhages	D020300	C10.228.140.300.535	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=818
Kim 2021	Transient cerebral ischemia	"Ischemic Attack, Transient"	D002546	C10.228.140.300.150.836	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=433.31
Kim 2021	Other arthropathies	Joint Diseases	D007592	C05.550	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=716
Donertas 2020	Other joint disorder	Joint Diseases	D007592	C05.550	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Kim 2021	Traumatic arthropathy	Joint Diseases	D007592	C05.550	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=836
Kim 2021	Keratoconjunctivitis sicca	Keratoconjunctivitis Sicca	D007638	C11.187.183.394.500	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=370.31
Kim 2021	Actinic keratosis	"Keratosis, Actinic"	D055623	C04.834.450	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	GWAS=-; Phecode=702.1
Kim 2021	Calculus of kidney	Kidney Calculi	D007669	C12.777.419.600.500	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=594.1
Kim 2021	Calculus of kidney and ureter	Kidney Calculi	D007669	C12.777.419.600.500	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=592
Kim 2021	Kidney stone	Kidney Calculi	D007669	C12.777.419.600.500	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=EFO_0003845; Phecode=-
Donertas 2020	Kidney stone/ureter stone/bladder stone	Kidney Calculi	D007669	C12.777.419.600.500	Disease	Male Urogenital Diseases	Kidney	Urogenital System	renal/urology	Age-of-onset Cluster=2; Not-equivalent
Kim 2021	Nephrolithiasis	Kidney Calculi	D007669	C12.777.419.600.500	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=EFO_0004253; Phecode=-
Kim 2021	Other disorders of the kidney and ureters	Kidney Diseases	D007674	C12.777.419	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=586
Donertas 2020	Other renal/kidney problem	Kidney Diseases	D007674	C12.777.419	Disease	Male Urogenital Diseases	Kidney	Urogenital System	renal/urology	Age-of-onset Cluster=2; -
Kim 2021	Chronic renal failure	"Kidney Failure, Chronic"	D007676	C12.777.419.780.750.500	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=585.3
Kim 2021	End stage renal disease	"Kidney Failure, Chronic"	D007676	C12.777.419.780.750.500	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=-; Phecode=585.32
Kim 2021	Cancer of kidney and renal pelvis	Kidney Neoplasms	D007680	C04.588.945.947.535	Disease	Neoplasms	Kidney	Urogenital System	Neoplasms	GWAS=-; Phecode=189.1
Kim 2021	Cancer of kidney and urinary organs	Kidney Neoplasms	D007680	C04.588.945.947.535	Disease	Neoplasms	Kidney	Urogenital System	Neoplasms	GWAS=-; Phecode=189
Chang 2019	Kidney cancer	Kidney Neoplasms	D007680	C04.588.945.947.535	Disease	Neoplasms	Kidney	Urogenital System	Neoplasms	-
Kim 2021	Malignant neoplasm of kidney and other urinary organs	Kidney Neoplasms	D007680	C04.588.945.947.535	Disease	Neoplasms	Kidney	Urogenital System	Neoplasms	GWAS=-; Phecode=189.4
Johnson 2015	Kidney replaced by transplant	Kidney Transplantation	D016030	E02.870.500	Diagnosis	Diagnosis	Kidney	Urogenital System	-	GWAS=-; Phecode=587
Kim 2021	Labyrinthitis	Labyrinthitis	D007762	C09.218.568.558	Disease	Otorhinolaryngologic Diseases	Ear	Sense Organs	Otorhinolaryngologic Diseases	GWAS=-; Phecode=386.3
Chang 2019	Larynx cancer	Laryngeal Neoplasms	D007822	C04.588.443.665.481	Disease	Neoplasms	Respiratory System	Respiratory System	Neoplasms	-
Kim 2021	Chronic ulcer of leg or foot	Leg Ulcer	D007871	C17.800.893.592	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and Connective Tissue Diseases	GWAS=-; Phecode=707.2
Chang 2019	Other leukaemia	Leukemia	D007938	C04.557.337	Disease	Neoplasms	Blood cells	Hemic and Immune Systems	Neoplasms	-
Kim 2021	Chronic lymphocytic leukemia	"Leukemia, Lymphocytic, Chronic, B-Cell"	D015451	C04.557.337.428.080.125	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=EFO_0000095; Phecode=-
Chang 2019	Chronic lymphoid leukaemia	"Leukemia, Lymphocytic, Chronic, B-Cell"	D015451	C04.557.337.428.080.125	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	-
Kim 2021	Chronic lymphoid leukemia	"Leukemia, Lymphocytic, Chronic, B-Cell"	D015451	C04.557.337.428.080.125	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=204.12
Chang 2019	Acute lymphoid leukaemia	"Leukemia, Lymphoid"	D007945	C04.557.337.428	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	Not-equivalent
Kim 2021	Lymphoid leukemia	"Leukemia, Lymphoid"	D007945	C04.557.337.428	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=204.1
Chang 2019	Chronic myeloid leukaemia	"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"	D015464	C04.557.337.539.250	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	-
Chang 2019	Acute myeloid leukaemia	"Leukemia, Myeloid, Acute"	D015470	C04.557.337.539.275	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	-
Kim 2021	Acute myeloid leukemia	"Leukemia, Myeloid, Acute"	D015470	C04.557.337.539.275	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=EFO_0000222; Phecode=-
Kim 2021	Myeloid leukemia	"Leukemia, Myeloid, Acute"	D015470	C04.557.337.539.275	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=204.2
Kim 2021	Disorders of lipoid metabolism	Lipid Metabolism Disorders	D052439	C18.452.584	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=272
Kim 2021	Lipoprotein disorders	Lipid Metabolism Disorders	D052439	C18.452.584	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=277.51
Kim 2021	Lipoma	Lipoma	D008067	C04.557.450.550.400	Disease	Neoplasms	Adipose Tissue	Connective Tissue	Neoplasms	GWAS=-; Phecode=214
Chang 2019	Cirrhosis due to non-alcoholic steatohepatitis	Liver Cirrhosis	D008103	C06.552.630	Disease	Digestive System Diseases	Liver	Digestive System	Diabetes and kidney diseases	-
Kim 2021	Hepatic cancer	Liver Neoplasms	D008113	C04.588.274.623	Disease	Neoplasms	Liver	Digestive System	Neoplasms	GWAS=-; Phecode=155
Kim 2021	"Hepatic cancer, primary"	Liver Neoplasms	D008113	C04.588.274.623	Disease	Neoplasms	Liver	Digestive System	Neoplasms	GWAS=-; Phecode=155.1
Chang 2019	Liver cancer due to alcohol use	Liver Neoplasms	D008113	C04.588.274.623	Disease	Neoplasms	Liver	Digestive System	Neoplasms	Not-equivalent
Chang 2019	Liver cancer due to hepatitis C	Liver Neoplasms	D008113	C04.588.274.623	Disease	Neoplasms	Liver	Digestive System	Neoplasms	Not-equivalent
Chang 2019	Liver cancer due to non-alcoholic steatohepatitis	Liver Neoplasms	D008113	C04.588.274.623	Disease	Neoplasms	Liver	Digestive System	Neoplasms	Not-equivalent
Johnson 2015	Longevity	Longevity	D008136	G07.345.124.519	Phenomena	Phenomena	Unspecified	Unspecified	-	GWAS=EFO_0004300; Phecode=-
Chang 2019	Interstitial lung disease and pulmonary sarcoidosis	"Lung Diseases, Interstitial"	D017563	C08.381.483	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Chronic respiratory diseases	-
Kim 2021	Lung cancer	Lung Neoplasms	D008175	C04.588.894.797.520	Disease	Neoplasms	Lung	Respiratory System	Neoplasms	GWAS=-; Phecode=165.1
Kim 2021	Lung carcinoma	Lung Neoplasms	D008175	C04.588.894.797.520	Disease	Neoplasms	Lung	Respiratory System	Neoplasms	GWAS=EFO_0001071; Phecode=-
Kim 2021	Secondary malignancy of lung	Lung Neoplasms	D008175	C04.588.894.797.520	Disease	Neoplasms	Lung	Respiratory System	Neoplasms	GWAS=-; Phecode=198.2
Kim 2021	Squamous cell lung carcinoma	Lung Neoplasms	D008175	C04.588.894.797.520	Disease	Neoplasms	Lung	Respiratory System	Neoplasms	GWAS=EFO_0000708; Phecode=-
Chang 2019	"Tracheal, bronchus, and lung cancer"	Lung Neoplasms	D008175	C04.588.894.797.520	Disease	Neoplasms	Lung	Respiratory System	Neoplasms	-
Kim 2021	Systemic lupus erythematosus	"Lupus Erythematosus, Systemic"	D008180	C17.300.480	Disease	Skin and Connective Tissue Diseases	Unspecified	Unspecified	Skin and Connective Tissue Diseases	GWAS=EFO_0002690; Phecode=695.42
Kim 2021	Lupus nephritis	Lupus Nephritis	D008181	C12.777.419.570.363.680	Disease	Male Urogenital Diseases	Kidney	Urogenital System	Male Urogenital Diseases	GWAS=EFO_0005761; Phecode=-
Kim 2021	"Cancer of other lymphoid, histiocytic tissue"	Lymphoma	D008223	C04.557.386	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=202
Kim 2021	Secondary malignancy of lymph nodes	Lymphoma	D008223	C04.557.386	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=198.1
Kim 2021	Nodular lymphoma	"Lymphoma, Follicular"	D008224	C04.557.386.480.350	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=202.21
Kim 2021	Large cell lymphoma	"Lymphoma, Non-Hodgkin"	D008228	C04.557.386.480	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=202.24
Kim 2021	Lymphosarcoma	"Lymphoma, Non-Hodgkin"	D008228	C04.557.386.480	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=202.23
Chang 2019	Non-Hodgkin lymphoma	"Lymphoma, Non-Hodgkin"	D008228	C04.557.386.480	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	-
Kim 2021	Non-Hodgkins lymphoma	"Lymphoma, Non-Hodgkin"	D008228	C04.557.386.480	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=202.2
Kim 2021	Reticulosarcoma	"Lymphoma, Non-Hodgkin"	D008228	C04.557.386.480	Disease	Neoplasms	Blood Cells	Hemic and Immune Systems	Neoplasms	GWAS=-; Phecode=202.22
Kim 2021	Age-related macular degeneration	Macular Degeneration	D008268	C11.768.585.439	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=EFO_0001365; Phecode=362.29
Chang 2019	Age-related macular degeneration	Macular Degeneration	D008268	C11.768.585.439	Disease	Eye Diseases	Eye	Sense Organs	Sense organ diseases	-
Kim 2021	Atrophic macular degeneration	Macular Degeneration	D008268	C11.768.585.439	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=EFO_1001492; Phecode=-
Kim 2021	Cystoid macular degeneration of retina	Macular Degeneration	D008268	C11.768.585.439	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=362.23
Kim 2021	Macular degeneration	Macular Degeneration	D008268	C11.768.585.439	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=362.2
Kim 2021	"Macular degeneration, dry"	Macular Degeneration	D008268	C11.768.585.439	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=362.21
Kim 2021	Magnesium measurement	Magnesium	D008274	D01.268.552.437	Chemical	Chemical	Serum	Fluids and Secretions	Chemical	GWAS=EFO_0004845; Phecode=-
Kim 2021	Abnormal findings on mammogram or breast exam	Mammography	D008327	E01.370.350.700.500	Diagnosis	Diagnosis	Breast	Body Regions	Diagnosis	GWAS=-; Phecode=611
Kim 2021	Abnormal mammogram	Mammography	D008327	E01.370.350.700.500	Diagnosis	Diagnosis	Breast	Body Regions	Diagnosis	GWAS=-; Phecode=611.1
Kim 2021	Inflammatory disease of breast	Mastitis	D008413	C13.703.844.603	Disease	Female Urogenital Diseases and Pregnancy Complications	Breast	Body Regions	Female Urogenital Diseases and Pregnancy Complications	GWAS=-; Phecode=613.1
Johnson 2015	Mean platelet volume	Mean Platelet Volume	D063847	E01.370.225.625.625.392	Diagnosis	Diagnosis	Blood Cells	Hemic and Immune Systems	-	GWAS=EFO_0004584; Phecode=-
Kim 2021	Cutaneous melanoma	Melanoma	D008545	C04.557.465.625.650.510	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	GWAS=EFO_0000389; Phecode=-
Chang 2019	Malignant skin melanoma	Melanoma	D008545	C04.557.465.625.650.510	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	-
Kim 2021	Melanoma	Melanoma	D008545	C04.557.465.625.650.510	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	GWAS=EFO_0000756; Phecode=172.1
Kim 2021	Memory loss	Memory Disorders	D008569	C10.597.606.525	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=292.3
Kim 2021	Meniere's disease	Meniere Disease	D008575	C09.218.568.217.500	Disease	Otorhinolaryngologic Diseases	Ear	Sense Organs	Otorhinolaryngologic Diseases	GWAS=-; Phecode=386.1
Chang 2019	Pneumococcal meningitis	"Meningitis, Pneumococcal"	D008586	C01.150.252.223.500.875	Disease	Infections	Brain	Nervous System	"Communicable, maternal, neonatal, and nutritional diseases"	-
Chang 2019	Mesothelioma	Mesothelioma	D008654	C04.557.470.035.510	Disease	Neoplasms	Epithelium	Epithelium	Neoplasms	-
Kim 2021	Magnesium metabolism disorder	Metabolic Diseases	D008659	C18.452	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=275.3
Kim 2021	Dysmetabolic syndrome X	Metabolic Syndrome	D024821	C18.452.394.968.500.570	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=277.7
Kim 2021	Metabolic syndrome	Metabolic Syndrome	D024821	C18.452.394.968.500.570	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=EFO_0000195; Phecode=-
Kim 2021	Monoclonal gammopathy	Monoclonal Gammopathy of Undetermined Significance	D008998	C15.378.147.542.640	Disease	Hemic and Lymphatic Diseases	Blood Cells	Hemic and Immune Systems	Hemic and Lymphatic Diseases	GWAS=EFO_0000203; Phecode=-
